Title,Link,Positive %,Neutral %,Negative %,,Positive %,Neutral %,Negative %,Results
Laufey (singer),https://en.wikipedia.org/wiki/Laufey_(singer),11.50%,87.30%,1.20%,P,12.50%,86.20%,12.50%,P
Ariana Grande,https://en.wikipedia.org/wiki/Ariana_Grande,12.80%,83.30%,3.80%,P,14.40%,81.20%,4.50%,P
Taylor Swift,https://en.wikipedia.org/wiki/Taylor_Swift,18.50%,78.30%,3.20%,P,20.00%,76.40%,3.60%,P
Bruno Mars,https://en.wikipedia.org/wiki/Bruno_Mars,12.30%,84.40%,3.30%,P,13.30%,83.00%,3.70%,P
Drake (musician),https://en.wikipedia.org/wiki/Drake_(musician),11.60%,83.90%,4.50%,P,12.70%,82.20%,5.20%,P
The Weeknd,https://en.wikipedia.org/wiki/The_Weeknd,11.40%,84.40%,4.20%,P,12.70%,82.20%,5.10%,P
Olivia Rodrigo,https://en.wikipedia.org/wiki/Olivia_Rodrigo,11.30%,86.30%,2.40%,P,12.60%,84.80%,2.70%,P
Travis Scott,https://en.wikipedia.org/wiki/Travis_Scott,6.80%,89.60%,3.50%,P,7.40%,88.60%,4.00%,P
Nicki Minaj,https://en.wikipedia.org/wiki/Nicki_Minaj,10.60%,83.70%,5.70%,P,11.50%,82.20%,6.40%,P
Katy Perry,https://en.wikipedia.org/wiki/Katy_Perry,14.10%,83.30%,2.60%,P,15.30%,81.50%,3.20%,P
Beyoncé,https://en.wikipedia.org/wiki/Beyonc%C3%A9,14.20%,82.40%,3.40%,P,15.40%,80.90%,3.70%,P
Ed Sheeran,https://en.wikipedia.org/wiki/Ed_Sheeran,11.20%,86.60%,2.20%,P,12.30%,85.00%,2.70%,P
Michael Jackson,https://en.wikipedia.org/wiki/Michael_Jackson,10.90%,82.70%,6.40%,P,12.20%,80.50%,7.30%,P
Miley Cyrus,https://en.wikipedia.org/wiki/Miley_Cyrus,12.30%,84.50%,3.20%,P,13.60%,82.80%,3.70%,P
Selena Gomez,https://en.wikipedia.org/wiki/Selena_Gomez,14.30%,81.50%,4.20%,P,16.50%,78.80%,4.70%,P
Justin Bieber,https://en.wikipedia.org/wiki/Justin_Bieber,10.70%,85.30%,4.00%,P,12.00%,83.40%,4.60%,P
